"word","n"
"food",35425
"chinese",18384
"chicken",15841
"restaurant",10638
"service",10151
"time",9538
"rice",8735
"soup",7930
"menu",7766
"sauce",7310
"fried",7280
"dishes",6424
"sushi",6418
"noodles",6121
"pork",5924
"spicy",5828
"nice",5680
"hot",5500
"delicious",5416
"lunch",5400
"beef",5356
"dish",5259
"pretty",5082
"eat",4802
"egg",4713
"shrimp",4626
"love",4595
"fresh",4495
"dumplings",4057
"friendly",3986
"meal",3812
"roll",3804
"rolls",3803
"people",3652
"bad",3562
"flavor",3552
"taste",3512
"favorite",3466
"dinner",3442
"staff",3432
"asian",3402
"sweet",3395
"quality",3383
"authentic",3374
"price",3338
"recommend",3293
"times",3269
"bit",3228
"experience",3156
"tea",3118
"delivery",3061
"tofu",2997
"amazing",2985
"minutes",2956
"meat",2906
"2",2881
"noodle",2873
"tasty",2843
"lot",2836
"buffet",2805
"restaurants",2773
"5",2745
"table",2732
"wait",2663
"sour",2653
"thai",2648
"prices",2576
"3",2570
"portions",2504
"fast",2467
"tasted",2438
"night",2362
"excellent",2313
"crab",2240
"stars",2221
"10",2161
"home",2149
"eating",2141
"worth",2088
"decent",2085
"fish",2080
"cooked",2079
"clean",2075
"day",2045
"family",2030
"mein",2021
"super",1999
"items",1951
"special",1949
"4",1929
"vegetables",1896
"pittsburgh",1881
"huge",1871
"disappointed",1857
"quick",1839
"takeout",1827
"dim",1817
"lo",1808
"options",1798
"told",1787
"sum",1786
"tso's",1760
"found",1753
"broccoli",1752
"bar",1746
"broth",1729
"1",1707
"visit",1697
"wonton",1687
"bland",1684
"portion",1668
"waitress",1662
"crispy",1656
"atmosphere",1654
"happy",1650
"server",1646
"style",1626
"friends",1619
"reviews",1609
"inside",1585
"served",1580
"cold",1569
"friend",1567
"sesame",1564
"madison",1547
"house",1540
"feel",1538
"location",1527
"coming",1526
"hard",1513
"left",1509
"water",1508
"pot",1499
"dining",1498
"cheap",1483
"china",1475
"enjoyed",1470
"white",1469
"veggies",1466
"star",1461
"american",1451
"awesome",1449
"pad",1448
"ramen",1437
"review",1430
"decided",1423
"town",1414
"owner",1405
"cleveland",1399
"tables",1369
"busy",1358
"half",1358
"bowl",1347
"garlic",1340
"green",1338
"highly",1338
"husband",1333
"perfect",1330
"called",1324
"top",1323
"extra",1317
"spot",1317
"flavorful",1305
"average",1303
"hour",1303
"drinks",1290
"amount",1289
"pepper",1284
"looked",1282
"check",1281
"enjoy",1275
"selection",1251
"steamed",1243
"ate",1234
"plate",1230
"couple",1211
"wrong",1205
"pieces",1200
"loved",1194
"reasonable",1194
"variety",1183
"dry",1181
"worst",1172
"orange",1163
"customer",1156
"greasy",1147
"real",1147
"drink",1141
"expect",1138
"fun",1128
"pick",1128
"15",1127
"absolutely",1123
"salty",1122
"eaten",1104
"kitchen",1097
"vegetable",1097
"fantastic",1096
"person",1086
"salad",1086
"curry",1083
"close",1080
"meals",1078
"rangoon",1074
"pay",1069
"extremely",1068
"wife",1068
"spice",1066
"duck",1065
"business",1057
"pho",1053
"appetizer",1052
"makes",1052
"money",1046
"spring",1046
"szechuan",1046
"quickly",1041
"20",1032
"bubble",1028
"entrees",1026
"decor",1025
"week",1008
"street",1006
"30",1003
"fan",999
"oil",998
"terrible",996
"size",992
"typical",990
"finally",982
"customers",976
"return",975
"cuisine",972
"wonderful",958
"6",953
"arrived",952
"buns",950
"phone",944
"waiter",938
"attentive",935
"free",935
"tastes",927
"fine",925
"call",922
"vegetarian",914
"brought",913
"red",913
"seafood",913
"flavors",909
"entree",905
"lots",903
"sichuan",903
"soy",902
"ago",897
"bring",886
"ingredients",886
"ready",884
"yelp",881
"waiting",880
"reason",873
"front",872
"started",868
"past",857
"serve",857
"sit",855
"traditional",855
"chili",852
"regular",846
"surprised",845
"seated",844
"stop",843
"americanized",835
"standard",835
"choice",834
"impressed",833
"tip",833
"offer",831
"parking",831
"rude",826
"prepared",823
"manager",822
"horrible",821
"sauces",821
"stir",818
"stopped",815
"priced",814
"plenty",812
"8",808
"stuff",804
"taiwanese",804
"main",803
"bean",802
"kung",802
"salt",790
"plates",789
"veggie",783
"tender",780
"add",779
"japanese",775
"lady",770
"door",766
"appetizers",764
"wok",764
"filling",758
"expensive",756
"perfectly",753
"drive",752
"pan",749
"brown",748
"specials",746
"yummy",745
"belly",742
"hibachi",742
"cook",741
"ginger",740
"live",739
"counter",738
"slow",735
"waited",735
"care",734
"tso",734
"deal",733
"eggplant",727
"guess",726
"chef",725
"leave",723
"black",721
"walked",720
"generous",718
"option",717
"craving",716
"hunan",716
"ice",715
"tuna",712
"7",702
"cream",700
"pao",700
"chow",696
"sat",695
"based",691
"owners",686
"late",684
"bite",678
"dumpling",677
"expected",673
"sitting",670
"disappointing",669
"warm",667
"choices",662
"wall",661
"deliver",659
"delivered",657
"days",655
"recently",655
"mind",652
"cheese",651
"start",651
"texture",648
"favorites",647
"hours",643
"line",643
"completely",642
"bill",641
"boyfriend",641
"recommended",639
"choose",637
"empty",635
"hungry",635
"dessert",634
"short",634
"literally",633
"low",633
"remember",632
"rest",624
"serving",624
"seating",621
"solid",621
"type",621
"wontons",621
"servers",620
"walk",620
"local",616
"run",616
"glad",615
"heat",615
"lamb",614
"hit",612
"miss",611
"guy",609
"honestly",609
"party",609
"packed",607
"added",604
"pleasant",604
"vietnamese",603
"understand",602
"beans",601
"express",599
"poor",596
"helpful",595
